comment,video_id,video_title,source_query,fetched_at
Dia ni cakap besar sangat.. insyallah kalau BN kalah memang itu lah petunjuk ALLAH untuk orang Malaysia,Bvjg8KDUu0M,"PRN bukan pemilihan presiden, Tok Mat kata buang masa debat",Malaysia news debate,2026-07-26T22:35:40
Tukar mb lain la...tk mau org yg sama lg...,Bvjg8KDUu0M,"PRN bukan pemilihan presiden, Tok Mat kata buang masa debat",Malaysia news debate,2026-07-26T22:35:40
"Dah lah tu tok mat sembang kari.
BN perasuah sapu duit tabung Haji.",Bvjg8KDUu0M,"PRN bukan pemilihan presiden, Tok Mat kata buang masa debat",Malaysia news debate,2026-07-26T22:35:40
Jangan angkuh,Bvjg8KDUu0M,"PRN bukan pemilihan presiden, Tok Mat kata buang masa debat",Malaysia news debate,2026-07-26T22:35:40
"Tok Mat nampaknya bukan main sombong dan angkuh sejak kebelakangan ni, mungkin mentang mentang umno menang besar di prn johor......",Bvjg8KDUu0M,"PRN bukan pemilihan presiden, Tok Mat kata buang masa debat",Malaysia news debate,2026-07-26T22:35:40
Cakap sedap set2 kamu yg bedal duit rakyat..xyah menipu rakyat,Bvjg8KDUu0M,"PRN bukan pemilihan presiden, Tok Mat kata buang masa debat",Malaysia news debate,2026-07-26T22:35:40
"Debat buang masa 
PRN belum sampai masa 
Boleh pulak
Buang masa pengundi 😀",Bvjg8KDUu0M,"PRN bukan pemilihan presiden, Tok Mat kata buang masa debat",Malaysia news debate,2026-07-26T22:35:40
tokmat takut tolak zahid.. sggup kne pgang tlur,Bvjg8KDUu0M,"PRN bukan pemilihan presiden, Tok Mat kata buang masa debat",Malaysia news debate,2026-07-26T22:35:40
"Jgn debat, main pantun je😅😅😅",Bvjg8KDUu0M,"PRN bukan pemilihan presiden, Tok Mat kata buang masa debat",Malaysia news debate,2026-07-26T22:35:40
"Yang betul nya n9 akan ikut jejak langkah sabah dan johor dalam menolak dap pakatan hancing🎉🎉🎉

*TAHNIAH SABAH & JOHOR!!!N9 ON THE WAY!!!* 💪💪💪",Bvjg8KDUu0M,"PRN bukan pemilihan presiden, Tok Mat kata buang masa debat",Malaysia news debate,2026-07-26T22:35:40
Kaki gila kuasa nii..dah tak relevan dah geng2 tua nii kaku putar alam..pilihlah anak muda yg berkaliber dan berpendidikan..bukan jenis hasut perkauman...tunggang agama..rakyat harus bangkit buang BN PAS PN,Bvjg8KDUu0M,"PRN bukan pemilihan presiden, Tok Mat kata buang masa debat",Malaysia news debate,2026-07-26T22:35:40
parti yang kuat berdebat kurang dapat fokus kepada strategi ekonomi dan pelaksanaan berkesan,Bvjg8KDUu0M,"PRN bukan pemilihan presiden, Tok Mat kata buang masa debat",Malaysia news debate,2026-07-26T22:35:40
Hati busuk,Bvjg8KDUu0M,"PRN bukan pemilihan presiden, Tok Mat kata buang masa debat",Malaysia news debate,2026-07-26T22:35:40
BN ❤❤❤,Bvjg8KDUu0M,"PRN bukan pemilihan presiden, Tok Mat kata buang masa debat",Malaysia news debate,2026-07-26T22:35:40
MANUSIA INI TALAM 2 MUKA. CAKAP MENIPU AJA PADA RAKYAT MALAYSIA. MANUSIA YANG TIDAK ADA RASA MALU. PUI PUI PUI.,Bvjg8KDUu0M,"PRN bukan pemilihan presiden, Tok Mat kata buang masa debat",Malaysia news debate,2026-07-26T22:35:40
Alamak.. Dua2 Mantan MB debat apa salahnya.. Biar laa rakyat tgk...,Bvjg8KDUu0M,"PRN bukan pemilihan presiden, Tok Mat kata buang masa debat",Malaysia news debate,2026-07-26T22:35:40
PH rasa hebat. Memang mereka hebat!!!!Hebat apa? 1. Hebat bercakap. 2. Hebat berbohong. 3. Hebat berjanji. 4. Hebat kelentong. 5. Lain2 yg sesuai. Akhir sekali entah nombor apa .....Hebat KENCING😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂,Bvjg8KDUu0M,"PRN bukan pemilihan presiden, Tok Mat kata buang masa debat",Malaysia news debate,2026-07-26T22:35:40
UMNO Memang takut Dialog & Debat kerana Pasti Jenayah ketirisan dan Rasuah yg Mereka sembunyikan Akan di ketahui Rakyat. Mathasan Takut.,Bvjg8KDUu0M,"PRN bukan pemilihan presiden, Tok Mat kata buang masa debat",Malaysia news debate,2026-07-26T22:35:40
"muke mB yg penuh dendam kesumat bile dijatuhkn oleh pH dulu, , 😅😂",Bvjg8KDUu0M,"PRN bukan pemilihan presiden, Tok Mat kata buang masa debat",Malaysia news debate,2026-07-26T22:35:40
Betul tu. Tak guna debat dgn kaki kencing😂,Bvjg8KDUu0M,"PRN bukan pemilihan presiden, Tok Mat kata buang masa debat",Malaysia news debate,2026-07-26T22:35:40
"Tok mat nie ni kene pecat jugak  dia ,wak jahid pecat jer ..sama 2kali 5",Bvjg8KDUu0M,"PRN bukan pemilihan presiden, Tok Mat kata buang masa debat",Malaysia news debate,2026-07-26T22:35:40
1st time aku dengar tok mat bercakap aku bole kata releven la...pemikiran pemimpin kene atas sikit dr rakyat... tahniah mr clean da kluar dan brani bersuara....,Bvjg8KDUu0M,"PRN bukan pemilihan presiden, Tok Mat kata buang masa debat",Malaysia news debate,2026-07-26T22:35:40
Yang tergendala???? Tergendala la  mat Oii.. Sekarang kan dah rm 1.3 bilion...Meleleh air liur...,Bvjg8KDUu0M,"PRN bukan pemilihan presiden, Tok Mat kata buang masa debat",Malaysia news debate,2026-07-26T22:35:40
Kau ini ular dalam kerajaan,Bvjg8KDUu0M,"PRN bukan pemilihan presiden, Tok Mat kata buang masa debat",Malaysia news debate,2026-07-26T22:35:40
😊😊😊😊😊 setepekkkk kena mazlee,Bvjg8KDUu0M,"PRN bukan pemilihan presiden, Tok Mat kata buang masa debat",Malaysia news debate,2026-07-26T22:35:40
Takuttt n pengecuttt😅,Bvjg8KDUu0M,"PRN bukan pemilihan presiden, Tok Mat kata buang masa debat",Malaysia news debate,2026-07-26T22:35:40
Mantap tok mat den,Bvjg8KDUu0M,"PRN bukan pemilihan presiden, Tok Mat kata buang masa debat",Malaysia news debate,2026-07-26T22:35:40
Betull tu Tok Mat... Debat pun x menguntungkan sesiapa kalau intinya x berkualiti.. Kami yakin Tok Mat lebih mudah difahami Dari pemimpin2 BN yg lain. Semoga Tok Mat akan diterima sepenuhnya oleh rakyat x kira Dari Parti mana sekali pun...,Bvjg8KDUu0M,"PRN bukan pemilihan presiden, Tok Mat kata buang masa debat",Malaysia news debate,2026-07-26T22:35:40
Halau PH dr Nismilan,Bvjg8KDUu0M,"PRN bukan pemilihan presiden, Tok Mat kata buang masa debat",Malaysia news debate,2026-07-26T22:35:40
Tok mat bersih...tolak zahid,Bvjg8KDUu0M,"PRN bukan pemilihan presiden, Tok Mat kata buang masa debat",Malaysia news debate,2026-07-26T22:35:40
"🤔 Bagi semula kat Isa Samad la ,🤭🤣",Bvjg8KDUu0M,"PRN bukan pemilihan presiden, Tok Mat kata buang masa debat",Malaysia news debate,2026-07-26T22:35:40
"Terbaik tok mat.. maku BN, menang BN",Bvjg8KDUu0M,"PRN bukan pemilihan presiden, Tok Mat kata buang masa debat",Malaysia news debate,2026-07-26T22:35:40
Dah takut pastu perlekeh pulak Maszlee level ketua bahagian..umngok umngok😂,Bvjg8KDUu0M,"PRN bukan pemilihan presiden, Tok Mat kata buang masa debat",Malaysia news debate,2026-07-26T22:35:40
Takut,Bvjg8KDUu0M,"PRN bukan pemilihan presiden, Tok Mat kata buang masa debat",Malaysia news debate,2026-07-26T22:35:40
Tergendala nak tebuk atap🫣🫣🫣,Bvjg8KDUu0M,"PRN bukan pemilihan presiden, Tok Mat kata buang masa debat",Malaysia news debate,2026-07-26T22:35:40
"Biar apa orang kata, kurang bercakap tapi kerja jalan dan rakyat akan nilai.....",Bvjg8KDUu0M,"PRN bukan pemilihan presiden, Tok Mat kata buang masa debat",Malaysia news debate,2026-07-26T22:35:40
"Tau nak debat, nak cakap pandai , janji bulan bintang., last last hancing..😂",Bvjg8KDUu0M,"PRN bukan pemilihan presiden, Tok Mat kata buang masa debat",Malaysia news debate,2026-07-26T22:35:40
Where is the actual recording,Dspw8hjkK50,(Ep 18) Last straw: Lee Kuan Yew issues challenge in Malaysia parliament | Merger To Separation,Malaysia news debate,2026-07-26T22:35:41
